vm_id,timestamp,cpu_usage,memory_usage,network_traffic,power_consumption,num_executed_instructions,execution_time,energy_efficiency,task_type,task_priority,task_status,Anomaly status
6b6d4ad7-615b-4aeb-be4e-002fb053850e,21-01-2023 13:38,12.89262977,,906.8080461,330.2078424,6940,14.1724312,0.123155471,io,low,completed,1
413a5a96-a794-484b-9a2e-41e15493742c,27-01-2023 23:04,1.919319831,89.60237184,653.3989104,1.105497963,90,34.07344537,0.092947808,io,low,running,1
e626c156-cd9f-4cc9-afc8-08ebde493635,16-01-2023 08:16,15.23547057,21.46913017,999.7060138,78.26794578,6248,10.4870171,0.216955561,network,high,waiting,1
d6dbf665-75c2-470a-89e3-1a0612e6798d,05-01-2023 04:56,1.687167337,91.60995073,175.6994247,387.5530044,9027,73.80595702,0.265696414,network,medium,running,1
534644a2-81aa-4bcf-94a9-cdc74fb43a09,10-01-2023 10:47,91.97828108,30.98857882,210.7665796,167.7932746,3377,80.63287158,0.277036368,network,medium,running,1
04e1a132-60d6-4c54-92c4-a8d9dd77738d,06-01-2023 13:51,5.853492224,81.18977153,449.7615534,66.98978694,96,60.00017227,0.249068377,compute,low,completed,1
f6462815-0ad0-4cfd-979d-5ca855e7a65f,02-01-2023 20:30,15.33688779,52.03874305,,120.9450134,8470,46.76398917,0.270366184,io,low,running,1
,18-01-2023 22:55,,71.65268781,757.2080388,494.5187424,4360,13.32791188,0.321082298,network,,completed,1
9b067b5f-168c-40da-b837-274e713e61dd,29-01-2023 18:45,79.55903685,57.06436357,604.6727886,,1120,43.73051578,0.08317392,compute,low,waiting,1
641d870c-cee7-4f61-a3a2-ff1fef123d80,02-01-2023 10:04,77.82761673,21.14874032,171.0800001,98.94687863,207,91.57214527,0.260610371,io,medium,,1
25c7c401-292f-40b6-aed8-ca1a55928ac0,08-01-2023 00:19,70.49480619,64.83688078,50.88871548,444.3755967,1263,0.244365509,0.115702794,network,,waiting,1
f03aa5aa-20e3-4335-9445-cd2cf3225459,19-01-2023 17:53,84.5154087,99.19471995,49.92422277,404.3980343,4531,62.83075518,0.197135163,network,,,1
47b67159-2162-4ef1-bde0-9523c28e73cd,21-01-2023 22:51,71.18704509,98.34564615,896.3813342,122.1964135,2610,26.77629101,0.251418556,network,high,waiting,1
18ddf57b-cb3d-472e-b626-2f1368bc0806,27-01-2023 09:53,10.11074906,35.29497844,952.0768032,289.2991789,3240,75.68803253,0.064562574,network,low,completed,1
935066ef-a30b-463d-b4eb-84582cf03345,27-01-2023 16:06,96.07664734,79.11588377,306.9959126,236.9839481,5578,96.64072309,0.252879058,io,,waiting,1
bd2020e3-867b-49be-bcd9-b09c7071abe9,15-01-2023 09:51,72.0319266,74.33104551,709.654543,488.7047559,6890,,0.441109199,,low,completed,1
1357554c-8551-4785-997c-b717e66a790a,31-01-2023 22:36,96.82043911,22.05440355,750.4845741,295.9494546,5976,24.09439196,0.143107356,compute,medium,running,1
cf44be32-0fc5-430b-8f37-ce816b07fdd1,23-01-2023 17:10,86.1822992,14.48269248,782.560033,236.5914022,,39.54754599,0.029730604,network,high,running,1
2a02b0a0-473d-4687-9cfa-ec258c1aae67,28-01-2023 01:51,23.05946367,75.55561033,,93.08263449,3576,44.66383872,0.0547516,,high,running,1
ec7b0ce3-7fd3-4861-9698-4f94554b1c0a,03-01-2023 23:02,12.03873942,,,102.7246014,4375,17.42590686,0.259051695,compute,medium,running,1
9a217156-c753-4a89-aa71-406723d624af,03-01-2023 10:45,94.42598201,2.43702946,562.1564091,,88,41.14787796,0.672990159,compute,medium,running,1
3cf5e361-f166-4ada-908c-e9fcf3f41566,29-01-2023 05:23,61.41750024,53.473738,,465.4733873,4965,,,compute,high,completed,1
3b8cbfad-b918-4a64-9c28-84e9fe21302e,08-01-2023 03:30,,85.28264152,569.6940953,406.898845,3592,62.02024819,0.312219701,network,low,completed,1
e0e89c0e-1044-4db7-92a7-06a73cc6340a,10-01-2023 02:22,11.46925254,62.71269019,891.4188009,14.71408754,,3.136279545,0.224082167,io,high,,1
5e930d7e-ce63-4781-8744-fb870ff3580b,12-01-2023 20:38,30.12891876,40.64313173,161.1878132,,4798,69.585392,0.181721073,compute,low,waiting,1
4b259c65-8a29-48b5-9741-d6d921c29861,05-01-2023 04:11,30.45715508,78.75994599,994.3045665,460.1897266,3877,54.17317303,0.64331947,,high,running,1
9bcda455-5d81-468d-93a6-0c7dddf3df50,08-01-2023 14:20,18.71043424,79.4789409,956.6120107,119.5676224,2728,90.97867355,0.801525159,,high,completed,1
a422308b-3dde-442e-a16d-efcbf8411d2f,08-01-2023 18:33,61.28359702,34.64014291,431.8306607,75.40410881,3705,0.949427647,0.168789685,io,high,,1
56542535-7f73-4c0a-ae9f-a2b717424e41,25-01-2023 17:13,25.74664781,14.25192118,215.1662795,344.6288339,5098,,0.05404701,io,high,,1
8e542e6f-a73a-4e1b-9ded-a0319f9464aa,11-01-2023 22:31,21.61220196,41.49494787,981.359358,495.7350488,8096,21.34994792,,io,low,waiting,1
f7c086bf-fbcf-4464-9dc3-92e986eebc9b,10-01-2023 04:05,,5.613583346,698.1495931,,338,,0.144245197,,,completed,1
a24d382c-a21b-4d20-923b-47c4a8c55547,24-01-2023 02:02,34.24578776,54.23640427,245.4161265,4.050487156,3876,48.4599256,0.106301129,io,high,completed,1
53a606b1-7dd7-4df3-b9bf-55535b7889a0,21-01-2023 21:00,11.95156184,7.836254016,459.1790089,401.1775151,9168,86.69109306,0.136711602,network,,running,1
,07-01-2023 11:55,,97.88946979,858.6180624,149.1889755,3184,,0.189890686,compute,low,running,1
a802091a-083d-4493-a557-4737be33ae06,08-01-2023 17:35,19.80604783,40.72389015,971.1924175,153.5067223,2082,80.63498901,0.277987716,network,medium,running,1
a4d63ac4-7b6a-410c-b2f7-b121c0195feb,22-01-2023 19:36,,73.86201943,668.7085809,145.6839346,,15.66242724,0.99612227,network,low,completed,1
5c750e5e-38bf-4d5c-95ee-dd8039eb8aae,26-01-2023 19:10,65.87254975,25.86924373,980.6949453,152.6073723,592,0.525525248,0.313378359,network,low,running,1
17d311ae-b15b-43ca-ad4e-028233ac3f1e,01-01-2023 02:18,84.26829031,77.00818985,310.211105,296.4767815,195,17.1964867,0.175449456,io,medium,completed,1
,07-01-2023 03:46,80.68743136,63.54992654,575.0844475,398.1438401,1338,17.39083983,0.228859214,compute,high,waiting,1
1a9af6ef-d93b-4a1d-a1fd-f724ddc000b2,02-01-2023 18:51,34.60720743,5.402040913,130.5893842,85.14230841,3759,83.86228473,0.008572826,network,medium,running,1
905d7625-30bb-464e-adde-d692ff7ff525,13-01-2023 16:35,31.30454722,18.96768512,362.4821501,411.0677423,7000,78.01104761,0.115336314,network,medium,running,1
47c11600-b78d-49ac-aac4-d3e9a729f63c,06-01-2023 17:04,74.61028701,77.98193595,216.4112715,241.3028166,7987,80.50952684,0.112968686,compute,high,running,1
d28240d3-a79d-4719-9f11-f07e4e423163,30-01-2023 02:34,,,903.8062254,133.4924624,3130,41.83351564,0.982487361,,low,completed,1
efdfd5c9-5a3a-45a9-9cbc-dae77426e985,11-01-2023 04:57,27.95752514,96.34270218,945.9135136,392.4022852,8594,,0.062279161,io,low,completed,1
7a559229-41ed-4879-b49f-51e64260d4f5,08-01-2023 17:05,,95.89559552,344.2597113,350.3129243,6394,89.75574593,0.091587149,network,low,waiting,1
61956810-a728-4fb8-b302-894daebcae19,06-01-2023 15:38,68.46143563,6.4265782,423.9418595,396.4969555,9109,70.78744654,0.293643844,network,low,running,1
